Date,Open,High,Low,Close,Adj Close,Volume,Unemp Rate%,Interest Rates
Jul 2021,"4,300.73","4,429.97","4,233.13","4,395.26","4,395.26","84,255,620,000",5.1,0.08
Aug 2021,"4,406.86","4,537.36","4,367.73","4,522.68","4,522.68","80,500,760,000",4.7,0.08
Sep 2021,"4,528.80","4,545.85","4,305.91","4,307.54","4,307.54","85,528,860,000",4.5,0.08
Oct 2021,"4,317.16","4,608.38","4,278.94","4,605.38","4,605.38","80,253,600,000",4.1,0.08
Nov 2021,"4,610.62","4,743.83","4,278.94","4,567.00","4,567.00","88,268,840,000",3.9,0.08
Dec 2021,"4,602.82","4,808.93","4,195.12","4,766.18","4,766.18","92,750,180,000",4,0.08
Jan 2022,"4,778.14","4,818.62","4,222.65","4,515.55","4,515.55","95,562,890,000",3.8,0.08
Feb 2022,"4,519.57","4,595.31","4,114.65","4,373.94","4,373.94","92,667,710,000",3.6,0.2
Mar 2022,"4,363.14","4,637.30","4,157.87","4,530.41","4,530.41","123,542,600,000",3.7,0.33
Apr 2022,"4,540.32","4,593.45","4,124.28","4,131.93","4,131.93","90,367,840,000",3.6,0.77
May 2022,"4,130.61","4,307.66","3,810.32","4,132.15","4,132.15","108,860,390,000",3.6,1.21
Jun 2022,"4,149.78","4,177.51","3,636.87","3,785.38","3,785.38","106,116,710,000",3.6,1.68
Jul 2022,"3,781.00","4,140.15","3,721.56","4,130.29","4,130.29","81,688,320,000",3.5,2.33
Aug 2022,"4,112.38","4,325.28","3,954.53","3,955.00","3,955.00","92,252,350,000",3.6,2.56
Sep 2022,"3,936.73","4,119.28","3,584.13","3,585.62","3,585.62","94,241,020,000",3.6,3.08
Oct 2022,"3,609.78","3,905.42","3,491.58","3,871.98","3,871.98","95,823,760,000",3.5,3.78
Nov 2022,"3,901.79","4,080.11","3,698.15","4,080.11","4,080.11","92,671,910,000",3.5,4.1
Dec 2022,"4,087.14","4,100.96","3,764.49","3,839.50","3,839.50","85,249,330,000",3.4,4.33
Jan 2023,"3,853.29","4,094.21","3,764.49","3,839.50","3,839.50","80,763,810,000",3.6,4.57
Feb 2023,"4,070.07","4,195.44","3,943.08","3,970.15","3,970.15","80,392,280,000",3.5,4.65
Mar 2023,"3,963.34","4,110.75","3,908.86","4,109.31","4,109.31","113,094,800,000",3.4,4.83
Apr 2023,"4,102.20","4,170.06","4,049.35","4,169.48","4,169.48","70,861,260,000",3.7,5.06
May 2023,"4,166.79","4,231.10","4,048.28","4,179.83","4,179.83","88,929,200,000",3.6,5.08
Jun 2023,"4,183.03","4,458.48","4,171.64","4,450.38","4,450.38","87,983,140,000",3.5,5.12
Jul 2023,"4,450.48","4,607.07","4,385.05","4,588.96","4,588.96","75,063,200,000",3.8,5.33
Aug 2023,"4,578.83","4,584.62","4,339.54","4,507.66","4,507.66","86,840,820,000",3.8,5.33
Sep 2023,"4,530.60","4,541.25","4,238.63","4,288.05","4,288.05","73,482,980,000",3.7,5.33
Oct 2023,"4,284.52","4,393.57","4,103.78","4,193.80","4,193.80","83,519,460,000",3.7,5.33
Nov 2023,"4,201.27","4,587.64","4,397.74","4,567.80","4,567.80","80,970,570,000",3.7,5.33
Dec 2023,"4,559.43","4,793.30","4,564.50","4,769.83","4,769.83","81,530,670,000",3.7,5.33
Jan 2024,"4,745.20","4,931.09","4,845.65","4,845.65","4,845.65","81,737,880,000",3.9,5.33
Feb 2024,"4,861.11","5,111.06","4,857.54","5,096.27","5,096.27","82,066,930,000",3.8,5.33
Mar 2024,"5,098.51","5,264.85","5,024.82","5,254.35","5,254.35","86,299,510,000",3.9,5.33
Apr 2024,"5,257.97","5,263.95","4,953.56","5,035.69","5,035.69","81,747,170,000",3.9,5.33
May 2024,"5,029.03","5,341.88","5,010.05","5,277.51","5,277.51","86,849,720,000",4,5.33
Jun 2024,"5,297.15","5,523.64","5,234.32","5,460.48","5,460.48","76,052,620,000",4.1,5.33
Jul 2024,"5,471.08","5,570.33","5,444.63","5,567.19","5,567.19","12,251,260,000",4.1,5.33
